model,task_id,lite_index,selected_attempt,candidate_source,selection_reason,selection_source_summary,raw_result,raw_score,existing_adopted_result,existing_adopted_score,review_status,disputed_conditions,independently_unsatisfied_requirements,task_level_impact,partial_score_effect,audit_proposed_result,existing_adjudication,adjudication_reference,diagnostic60_overlap,diagnostic60_list_ref,evidence_record_refs,audit_summary,human_questions,approval_status
gpt-5.5,a2l_osmand_calc_visit,24,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/024_a2l_osmand_calc_visit,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,instruction 明确要求在 Linux LibreOffice Calc 完成模板；当时 prompt 第 44 行要求可见 Office app 使用 GUI。两条完整链均只用 openpyxl 写 XLSX，没有 Calc 操作。,still_fail,candidate_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:024:E1,内容 readback 覆盖 Clinic、47.15100° N/9.53200° E、2027-02-16 10:00–11:00；但指定的 Calc 操作未完成。,,pending_user_approval
claude-opus-4-8,a2l_osmand_calc_visit,24,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/retry_run_01/024_a2l_osmand_calc_visit,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,E1,instruction 明确要求在 Linux LibreOffice Calc 完成模板；当时 prompt 第 44 行要求可见 Office app 使用 GUI。两条完整链均只用 openpyxl 写 XLSX，没有 Calc 操作。,still_fail,candidate_change,FAIL,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:024:E1,内容 readback 覆盖 Clinic、47.15100° N/9.53200° E、2027-02-16 10:00–11:00；但指定的 Calc 操作未完成。,,pending_user_approval
gpt-5.5,linux_android_1368,35,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/035_linux_android_1368,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,,原事件仍为 Original description，另新增同标题同时间的事件；不是对既有唯一事件原位追加。,still_fail,no_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:035:E1;gpt-5.5:035:E2,getter missing 的疑点被实际应用状态排除。,,not_required_for_retaining_result
claude-opus-4-8,linux_android_1368,35,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/035_linux_android_1368,同任务另一模型,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.0,FAIL,0.0,reviewed,,未追加日历描述，也没有创建第二部手机上的 Markor 汇总笔记。,still_fail,no_change,FAIL,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:035:E1;claude-opus-4-8:035:E2,getter missing 的疑点被实际应用状态排除。,,not_required_for_retaining_result
gpt-5.5,linux_android_1320,43,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/043_linux_android_1320,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:043:E1;gpt-5.5:043:E2,两部手机初始截图分别给出 Harbor Rice Bowl 的 rice/cooking oil/cucumber 和 Emily Carter 的 sesame allergy；两 Linux CSV 与最终文件 readback 完整闭环，supplier_order.csv 未创建。,,pending_user_approval
claude-opus-4-8,linux_android_1320,43,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/043_linux_android_1320,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:043:E1;claude-opus-4-8:043:E2,两部手机初始截图分别给出 Harbor Rice Bowl 的 rice/cooking oil/cucumber 和 Emily Carter 的 sesame allergy；两 Linux CSV 与最终文件 readback 完整闭环，supplier_order.csv 未创建。,,pending_user_approval
gpt-5.5,linux_android_1853,48,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/048_linux_android_1853,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:048:E1;gpt-5.5:048:E2,不能把 Thunderbird getter 的 missing 直接改成 present：需要本次运行的最终 Drafts 邮箱/候选消息，而不只是正文参数。,若保留过本 selected attempt 的 Thunderbird profile/Drafts 导出，请补充；当前副本不能替代。,pending_user_approval
claude-opus-4-8,linux_android_1853,48,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/048_linux_android_1853,同任务另一模型,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.5,FAIL,0.5,reviewed,E1,,undetermined,undetermined,undetermined,False,NA,False,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:048:E1;claude-opus-4-8:048:E2,不能把 Thunderbird getter 的 missing 直接改成 present：需要本次运行的最终 Drafts 邮箱/候选消息，而不只是正文参数。,若保留过本 selected attempt 的 Thunderbird profile/Drafts 导出，请补充；当前副本不能替代。,pending_user_approval
gpt-5.5,linux_android_1858,51,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/051_linux_android_1858,原有疑点,original_result,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/gpt-5.5-lite/mdcbench_lite_v1/core200_rerun_20260826_run_01/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,gpt-5.5:051:E1;gpt-5.5:051:E2;gpt-5.5:051:E3,最终 communication_status.md 回读包含 CASE-1858/FB-1858/Leo Martin、请求号码 +15552001828 和当前行 +15552009928、冲突理由及不能回复的结论；两条 no-SMS 检查均通过且链中没有发送动作。,,pending_user_approval
claude-opus-4-8,linux_android_1858,51,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_rerun_20260828_run_01/051_linux_android_1858,原有疑点,effective_core200_provenance,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/runs/claude-opus-4-8/mdcbench_lite_v1/core200_recovery_20260829/effective_core200/summary.json,FAIL,0.6666666666666666,FAIL,0.6666666666666666,reviewed,E1,,candidate_fail_to_pass,candidate_change,PASS,False,NA,True,/Users/lht/home/MDCBench/workflow/experiment_worktrees/gpt55-core200-rerun-20260826/experiments/diagnostic60/diagnostic60_executable_stage_specs.jsonl,claude-opus-4-8:051:E1;claude-opus-4-8:051:E2;claude-opus-4-8:051:E3,最终 communication_status.md 回读包含 CASE-1858/FB-1858/Leo Martin、请求号码 +15552001828 和当前行 +15552009928、冲突理由及不能回复的结论；两条 no-SMS 检查均通过且链中没有发送动作。,,pending_user_approval
